
RIDE SUMMARY,
Total Time, 70.0, Minutes, 
Total Distance, 24.06, MI, 
AVG Power, 172, 
MAX Power, 295, 
AVG RPM, 75, 
MAX RPM, 98, 
AVG HR, 128, 
MAX HR, 144, 
CAL, 721, 

STAGE_1_SUMMARY,
Stage Time, 60.8, Minutes, 
Total Distance, 21.85, MI, 
AVG Power, 179, 
MAX Power, 295, 
AVG HR, 132, 
MAX HR, 144, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
204,77,137,3.92,
195,77,136,3.95,
195,73,136,3.97,
260,90,135,3.98,
251,88,135,4.00,
240,86,134,4.03,
233,83,134,4.06,
226,83,135,4.08,
207,82,135,4.10,
220,82,135,4.12,
219,81,137,4.15,
217,83,137,4.17,
214,80,137,4.19,
209,80,136,4.21,
193,80,136,4.23,
206,80,135,4.25,
217,82,135,4.27,
208,80,135,4.29,
203,79,136,4.31,
202,78,136,4.33,
200,79,137,4.35,
215,86,137,4.37,
216,79,137,4.39,
205,78,137,4.42,
198,77,137,4.44,
189,76,137,4.46,
186,74,137,4.48,
120,72,137,4.50,
119,71,136,4.51,
137,77,135,4.52,
130,74,135,4.54,
133,81,134,4.55,
154,89,133,4.56,
211,81,131,4.58,
206,79,130,4.60,
197,77,130,4.62,
194,77,130,4.64,
191,77,131,4.66,
192,81,131,4.68,
205,79,131,4.70,
197,77,132,4.72,
162,75,133,4.74,
185,75,133,4.76,
226,81,134,4.77,
238,79,134,4.79,
224,75,134,4.82,
203,73,134,4.84,
198,61,134,4.86,
255,82,134,4.88,
189,70,134,4.90,
184,69,134,4.92,
186,68,134,4.94,
206,69,135,4.96,
217,70,136,4.98,
206,66,135,5.00,
206,68,135,5.02,
211,69,135,5.04,
210,68,135,5.06,
203,68,136,5.08,
199,66,136,5.10,
249,82,136,5.13,
249,69,136,5.14,
216,81,136,5.17,
269,78,136,5.19,
259,76,136,5.22,
217,69,136,5.25,
208,67,135,5.27,
199,67,135,5.29,
274,70,135,5.31,
189,65,135,5.34,
184,66,135,5.36,
211,71,136,5.38,
171,57,136,5.40,
186,77,135,5.42,
198,75,135,5.43,
190,74,135,5.45,
188,73,135,5.47,
182,72,135,5.49,
161,68,134,5.51,
172,70,134,5.53,
195,75,133,5.54,
190,74,133,5.56,
197,76,133,5.58,
204,77,133,5.60,
204,79,134,5.62,
210,78,135,5.64,
206,78,135,5.66,
146,64,135,5.68,
218,80,135,5.70,
206,76,135,5.72,
191,73,135,5.74,
176,71,135,5.76,
185,74,135,5.78,
218,84,135,5.79,
226,80,134,5.81,
202,75,134,5.84,
187,73,134,5.86,
182,71,134,5.88,
173,70,135,5.90,
164,69,135,5.91,
121,74,135,5.93,
127,77,134,5.94,
132,77,134,5.96,
133,78,134,5.97,
163,87,132,5.98,
162,86,132,6.00,
159,83,130,6.01,
105,69,129,6.03,
123,86,129,6.04,
157,84,129,6.05,
176,91,129,6.07,
225,75,129,6.09,
196,77,129,6.11,
206,79,129,6.13,
217,79,129,6.15,
213,80,129,6.17,
197,75,129,6.19,
180,75,129,6.21,
192,76,129,6.23,
198,76,129,6.25,
178,71,130,6.27,
240,85,130,6.29,
231,83,130,6.31,
222,79,130,6.33,
210,79,130,6.35,
213,87,130,6.37,
223,85,130,6.40,
200,78,130,6.42,
218,80,130,6.44,
212,78,131,6.46,
204,79,131,6.48,
218,81,131,6.50,
232,84,132,6.53,
213,79,132,6.55,
189,75,133,6.57,
190,75,134,6.59,
191,76,134,6.61,
194,74,134,6.63,
168,70,134,6.65,
168,70,133,6.67,
169,70,133,6.68,
174,81,132,6.70,
211,78,131,6.72,
204,77,131,6.74,
197,77,130,6.76,
199,79,131,6.78,
203,74,131,6.80,
186,74,132,6.82,
180,72,132,6.84,
181,79,132,6.86,
197,76,132,6.87,
183,73,132,6.89,
181,72,132,6.91,
169,75,132,6.93,
190,75,133,6.95,
189,73,133,6.97,
170,70,133,6.99,
156,66,132,7.01,
162,69,131,7.02,
164,71,131,7.04,
178,71,131,7.05,
162,66,131,7.07,
163,68,131,7.09,
185,71,130,7.10,
176,66,130,7.12,
176,71,129,7.14,
185,71,129,7.16,
173,68,129,7.18,
165,66,128,7.19,
164,68,127,7.21,
167,64,126,7.23,
153,65,126,7.24,
176,69,127,7.26,
199,77,127,7.28,
202,74,128,7.30,
191,71,128,7.32,
169,67,128,7.34,
171,74,128,7.35,
203,77,128,7.37,
248,80,128,7.39,
219,76,129,7.42,
166,67,129,7.44,
171,68,130,7.46,
183,71,130,7.47,
195,75,131,7.49,
178,69,131,7.51,
177,69,131,7.53,
177,70,131,7.55,
194,75,130,7.57,
178,72,130,7.58,
181,58,130,7.60,
180,70,131,7.62,
180,70,131,7.64,
190,73,132,7.65,
189,71,134,7.67,
186,71,134,7.69,
185,71,134,7.71,
184,70,134,7.73,
194,73,134,7.75,
202,76,134,7.77,
199,74,134,7.79,
187,71,134,7.81,
186,71,134,7.83,
186,73,134,7.85,
183,70,134,7.86,
172,67,134,7.88,
176,69,134,7.90,
211,76,134,7.92,
187,68,133,7.94,
184,62,133,7.96,
149,64,134,7.98,
151,66,134,7.99,
192,72,134,8.01,
185,71,134,8.03,
171,68,134,8.04,
169,68,134,8.06,
162,67,134,8.08,
164,67,134,8.10,
160,65,133,8.11,
178,69,133,8.13,
171,68,133,8.15,
236,91,132,8.16,
275,88,132,8.18,
233,80,131,8.21,
224,79,131,8.24,
218,77,131,8.26,
164,67,131,8.28,
235,80,132,8.30,
216,77,132,8.32,
216,78,132,8.35,
219,80,133,8.37,
183,70,133,8.39,
183,72,134,8.41,
190,72,134,8.43,
121,56,135,8.45,
81,67,135,8.47,
106,67,135,8.48,
110,72,135,8.49,
119,78,135,8.50,
141,79,134,8.51,
127,73,134,8.52,
137,77,133,8.54,
147,81,132,8.55,
147,81,132,8.56,
130,79,131,8.58,
141,77,131,8.59,
185,78,131,8.60,
184,75,131,8.62,
177,73,130,8.64,
184,77,130,8.66,
152,81,129,8.68,
194,78,130,8.69,
193,77,130,8.71,
191,77,130,8.73,
187,77,130,8.75,
188,77,130,8.77,
191,77,131,8.79,
141,68,132,8.81,
187,75,131,8.83,
178,66,131,8.84,
169,72,131,8.86,
154,72,130,8.88,
154,69,130,8.89,
230,87,130,8.91,
243,85,129,8.93,
222,84,129,8.95,
217,84,129,8.97,
215,82,128,8.99,
213,83,127,9.02,
213,82,127,9.04,
213,83,127,9.06,
210,83,128,9.08,
196,83,129,9.10,
195,78,130,9.12,
190,78,130,9.14,
189,77,131,9.16,
187,77,131,9.18,
186,78,131,9.20,
235,88,131,9.22,
220,77,131,9.24,
181,75,131,9.26,
177,74,131,9.28,
172,73,132,9.30,
171,73,132,9.31,
169,73,133,9.33,
205,84,133,9.35,
195,79,133,9.36,
193,78,133,9.39,
181,75,133,9.41,
170,73,133,9.42,
166,73,133,9.44,
173,92,133,9.46,
233,87,133,9.47,
195,79,133,9.50,
194,80,133,9.52,
195,81,132,9.54,
199,80,132,9.56,
184,76,132,9.58,
162,72,132,9.60,
169,78,133,9.62,
226,72,133,9.63,
200,71,133,9.65,
190,68,133,9.67,
185,68,132,9.69,
179,69,132,9.71,
194,66,132,9.73,
170,64,132,9.75,
174,72,132,9.77,
197,70,133,9.78,
178,66,133,9.80,
160,62,133,9.82,
152,61,133,9.84,
175,66,133,9.86,
169,52,133,9.87,
195,71,132,9.89,
227,73,132,9.90,
203,75,132,9.92,
210,73,132,9.94,
157,67,132,9.97,
184,69,132,9.98,
175,62,132,10.00,
194,76,133,10.02,
160,64,133,10.04,
163,64,133,10.06,
163,64,132,10.07,
158,63,132,10.09,
157,78,131,10.11,
179,77,131,10.12,
178,76,130,10.14,
183,77,130,10.16,
182,76,130,10.17,
174,75,130,10.19,
171,72,130,10.21,
161,72,131,10.23,
160,73,131,10.24,
167,74,131,10.26,
138,66,131,10.28,
174,77,131,10.29,
119,74,131,10.31,
109,70,131,10.32,
104,70,131,10.33,
100,71,130,10.34,
112,73,130,10.35,
112,73,129,10.36,
112,73,128,10.38,
112,72,128,10.39,
111,73,127,10.40,
111,72,127,10.41,
108,71,127,10.42,
101,70,127,10.43,
102,70,127,10.44,
116,77,126,10.45,
136,85,126,10.46,
140,82,126,10.48,
131,80,126,10.49,
131,81,125,10.50,
132,81,123,10.52,
134,80,123,10.53,
129,80,123,10.54,
143,84,123,10.56,
136,81,123,10.57,
129,79,123,10.58,
128,78,123,10.60,
125,77,122,10.61,
122,75,122,10.62,
119,76,121,10.64,
119,77,121,10.65,
225,89,120,10.66,
226,83,119,10.67,
225,83,119,10.70,
214,80,119,10.72,
196,78,120,10.74,
249,83,120,10.76,
205,80,120,10.78,
205,80,121,10.80,
205,80,122,10.82,
