
Stage_Workout (min),Distance(mile),Speed (mph),Watts ,HR ,RPM 
17.6,5.724,16.76,98,0,113
17.7,5.753,17.83,115,0,116
17.8,5.783,18.91,134,0,115
17.9,5.813,17.21,105,0,113
18.0,5.843,17.21,105,0,113
18.1,5.874,19.34,142,0,111
18.2,5.906,19.34,142,0,112
18.3,5.938,19.55,146,0,117
18.4,5.968,17.28,106,0,113
18.5,5.998,18.91,134,0,113
18.6,6.031,19.07,137,0,113
18.7,6.061,17.71,113,0,113
18.8,6.090,17.71,113,0,106
18.9,6.122,19.39,143,0,114
19.0,6.152,17.09,103,0,111
19.1,6.180,16.89,100,0,107
19.2,6.208,16.42,93,0,104
19.3,6.237,17.71,113,0,115
19.4,6.266,16.95,101,0,112
19.5,6.295,17.15,104,0,109
19.6,6.323,17.77,114,0,113
19.7,6.354,17.15,104,0,100
19.8,6.382,17.59,111,0,110
19.9,6.410,17.59,111,0,109
20.0,6.441,18.35,124,0,111
Stage_01_Total,
Stage distance(mile),6.446,
Speed Max (mph),22.17,
Watts Max,203
HR Max,0
RPM Max,122
KCal,204
20.1,6.471,19.60,147,0,106
20.2,6.510,24.02,251,0,114
20.3,6.550,23.54,238,0,113
20.4,6.590,23.28,231,0,117
20.5,6.627,22.17,203,0,119
20.6,6.664,23.51,237,0,119
20.7,6.704,23.98,250,0,116
20.8,6.743,22.21,204,0,111
20.9,6.781,23.59,239,0,114
21.0,6.818,21.32,183,0,119
21.1,6.856,23.24,230,0,113
21.2,6.892,20.82,172,0,119
21.3,6.929,23.28,231,0,117
21.4,6.968,23.47,236,0,114
21.5,7.007,22.93,222,0,113
21.6,7.046,22.50,211,0,117
21.7,7.083,22.62,214,0,121
21.8,7.122,24.13,254,0,118
21.9,7.162,22.93,222,0,116
22.0,7.198,21.09,178,0,114
22.1,7.233,20.34,162,0,114
22.2,7.269,22.05,200,0,119
22.3,7.306,22.30,206,0,118
22.4,7.343,22.85,220,0,118
22.5,7.382,22.93,222,0,115
22.6,7.420,21.57,189,0,114
22.7,7.459,23.95,249,0,117
22.8,7.498,22.85,220,0,116
22.9,7.535,21.49,187,0,118
23.0,7.572,23.51,237,0,117
23.1,7.610,21.57,189,0,113
23.2,7.645,21.44,186,0,113
23.3,7.683,23.43,235,0,115
23.4,7.722,22.74,217,0,117
23.5,7.759,23.09,226,0,112
23.6,7.798,23.35,233,0,112
23.7,7.836,22.85,220,0,111
23.8,7.875,23.16,228,0,108
23.9,7.912,21.32,183,0,113
24.0,7.948,21.13,179,0,114
24.1,7.985,23.54,238,0,114
24.2,8.024,23.54,238,0,113
24.3,8.064,23.13,227,0,115
24.4,8.102,22.46,210,0,113
24.5,8.140,21.96,198,0,115
24.6,8.178,23.73,243,0,116
24.7,8.217,22.82,219,0,114
24.8,8.255,23.05,225,0,111
24.9,8.293,23.35,233,0,112
25.0,8.333,23.32,232,0,115
25.1,8.369,22.05,200,0,117
25.2,8.408,22.33,207,0,118
25.3,8.443,21.66,191,0,111
25.4,8.479,22.41,209,0,111
25.5,8.516,22.38,208,0,116
25.6,8.552,21.79,194,0,120
25.7,8.589,22.13,202,0,116
25.8,8.624,20.90,174,0,119
25.9,8.662,22.38,208,0,118
26.0,8.700,22.30,206,0,119
26.1,8.738,23.84,246,0,119
26.2,8.776,22.77,218,0,117
26.3,8.813,21.32,183,0,118
26.4,8.850,23.01,224,0,121
26.5,8.889,23.95,249,0,119
26.6,8.929,23.70,242,0,122
26.7,8.967,22.08,201,0,122
26.8,9.004,21.54,188,0,119
26.9,9.041,22.50,211,0,122
27.0,9.079,23.40,234,0,115
Stage_02_Total,
Stage distance(mile),2.645,
Speed Max (mph),24.68,
Watts Max,270
HR Max,0
RPM Max,124
KCal,106
27.1,9.109,13.50,57,0,41
27.2,9.129,10.93,35,0,74
27.3,9.146,10.16,30,0,80
27.4,9.164,11.07,36,0,96
27.5,9.183,11.21,37,0,108
27.6,9.203,12.23,45,0,109
27.7,9.224,13.70,59,0,106
27.8,9.247,14.93,73,0,108
27.9,9.272,14.68,70,0,106
28.0,9.297,15.01,74,0,104
28.1,9.323,15.56,81,0,108
28.2,9.349,15.92,86,0,105
28.3,9.375,15.40,79,0,113
28.4,9.401,16.00,87,0,105
28.5,9.427,14.51,68,0,105
28.6,9.451,14.85,72,0,100
28.7,9.477,16.63,96,0,102
28.8,9.505,16.49,94,0,107
28.9,9.533,16.56,95,0,110
29.0,9.560,16.07,88,0,105
29.1,9.586,15.71,83,0,101
29.2,9.611,14.93,73,0,100
29.3,9.636,15.48,80,0,105
29.4,9.662,15.71,83,0,109
29.5,9.689,15.85,85,0,104
29.6,9.716,16.42,93,0,103
29.7,9.742,15.85,85,0,103
29.8,9.769,16.21,90,0,103
29.9,9.796,16.21,90,0,106
30.0,9.823,16.49,94,0,107
30.1,9.850,16.07,88,0,108
30.2,9.876,15.71,83,0,108
30.3,9.903,16.56,95,0,108
30.4,9.931,16.35,92,0,107
30.5,9.958,16.07,88,0,108
30.6,9.985,16.35,92,0,109
30.7,10.013,17.46,109,0,109
30.8,10.043,19.02,136,0,113
30.9,10.075,19.02,136,0,109
31.0,10.107,18.96,135,0,109
31.1,10.136,16.63,96,0,108
31.2,10.165,17.65,112,0,106
31.3,10.194,17.53,110,0,106
31.4,10.224,18.01,118,0,111
31.5,10.252,16.42,93,0,109
31.6,10.283,18.75,131,0,110
31.7,10.314,18.86,133,0,107
31.8,10.346,18.80,132,0,107
31.9,10.376,18.01,118,0,106
32.0,10.407,18.24,122,0,105
Stage_03_Total,
Stage distance(mile),1.321,
Speed Max (mph),24.68,
Watts Max,180
HR Max,0
RPM Max,114
KCal,31
32.1,10.437,20.63,168,0,111
32.2,10.477,25.34,290,0,116
32.3,10.518,24.27,258,0,116
32.4,10.557,23.47,236,0,114
32.5,10.597,23.62,240,0,114
32.6,10.636,23.51,237,0,111
32.7,10.676,24.09,253,0,114
32.8,10.715,24.09,253,0,114
32.9,10.755,23.32,232,0,112
33.0,10.794,24.45,263,0,114
33.1,10.833,22.25,205,0,111
33.2,10.871,23.21,229,0,112
33.3,10.911,23.70,242,0,114
33.4,10.949,23.09,226,0,114
33.5,10.988,22.46,210,0,114
33.6,11.026,23.76,244,0,115
33.7,11.066,23.54,238,0,114
33.8,11.105,24.02,251,0,118
33.9,11.145,24.09,253,0,117
34.0,11.185,22.17,203,0,114
34.1,11.223,23.35,233,0,113
34.2,11.263,23.98,250,0,116
34.3,11.303,24.09,253,0,118
34.4,11.343,23.91,248,0,116
34.5,11.383,24.58,267,0,121
34.6,11.424,24.23,257,0,118
34.7,11.463,23.51,237,0,113
34.8,11.503,23.70,242,0,120
34.9,11.541,21.79,194,0,121
35.0,11.579,22.50,211,0,116

Stage_04_Total,
Stage distance(mile),1.167,
Speed Max (mph),25.34,
Watts Max,290
HR Max,0
RPM Max,125
KCal,50

35.1,11.610,15.56,81,0,70
35.2,11.631,11.35,38,0,77
35.3,11.650,10.93,35,0,83
35.4,11.668,11.48,39,0,90
35.5,11.689,11.99,43,0,93
35.6,11.709,12.23,45,0,98
35.7,11.729,12.68,49,0,95
35.8,11.751,13.10,53,0,95
35.9,11.772,12.57,48,0,104
36.0,11.794,13.89,61,0,106
36.1,11.819,14.85,72,0,106
36.2,11.843,14.25,65,0,108
36.3,11.867,14.43,67,0,104
36.4,11.892,15.32,78,0,108
36.5,11.917,14.51,68,0,110
36.6,11.943,15.92,86,0,107
36.7,11.969,15.40,79,0,100
36.8,11.993,14.16,64,0,90
36.9,12.017,13.89,61,0,90
37.0,12.041,15.40,79,0,74
Stage_05_Total,
Stage distance(mile),0.462,
Speed Max (mph),25.34,
Watts Max,211
HR Max,0
RPM Max,116
KCal,9
37.1,12.074,23.70,242,0,89
37.2,12.117,25.63,299,0,88
37.3,12.160,26.51,328,0,96
37.4,12.204,26.12,315,0,87
37.5,12.246,25.60,298,0,86
37.6,12.288,26.37,323,0,98
37.7,12.334,26.97,344,0,102
37.8,12.378,27.05,347,0,102
37.9,12.420,24.61,268,0,95
