
RIDE SUMMARY,
Total Time, 45.3, Minutes, 
Total Distance, 21.98, MI, 
AVG Power, 243, 
MAX Power, 601, 
AVG RPM, 84, 
MAX RPM, 113, 
AVG HR, 109, 
MAX HR, 130, 
CAL, 659, 

STAGE_1_SUMMARY,
Stage Time,  5.7, Minutes, 
Total Distance, 3.44, MI, 
AVG Power, 303, 
MAX Power, 412, 
AVG HR, 105, 
MAX HR, 119, 

STAGE_2_SUMMARY,
Stage Time,  1.5, Minutes, 
Total Distance, 1.04, MI, 
AVG Power, 353, 
MAX Power, 601, 
AVG HR, 120, 
MAX HR, 125, 

STAGE_3_SUMMARY,
Stage Time,  1.8, Minutes, 
Total Distance, 1.40, MI, 
AVG Power, 389, 
MAX Power, 439, 
AVG HR, 121, 
MAX HR, 126, 

STAGE_4_SUMMARY,
Stage Time,  3.7, Minutes, 
Total Distance, 2.61, MI, 
AVG Power, 354, 
MAX Power, 501, 
AVG HR, 122, 
MAX HR, 130, 

STAGE_5_SUMMARY,
Stage Time,  2.5, Minutes, 
Total Distance, 1.68, MI, 
AVG Power, 337, 
MAX Power, 428, 
AVG HR, 123, 
MAX HR, 129, 

STAGE_6_SUMMARY,
Stage Time,  8.9, Minutes, 
Total Distance, 5.59, MI, 
AVG Power, 313, 
MAX Power, 390, 
AVG HR, 124, 
MAX HR, 129, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
142,61,94,2.59,
182,65,95,2.60,
147,60,95,2.62,
183,66,95,2.63,
174,65,95,2.65,
176,65,95,2.67,
131,68,95,2.69,
193,86,96,2.70,
173,95,95,2.72,
200,94,95,2.74,
193,91,95,2.76,
137,76,95,2.78,
137,76,94,2.79,
137,78,94,2.81,
180,88,94,2.82,
177,89,94,2.84,
178,90,94,2.85,
187,91,94,2.87,
187,92,94,2.89,
186,88,94,2.91,
176,89,94,2.93,
175,90,95,2.95,
179,90,95,2.96,
182,90,95,2.98,
139,76,95,3.00,
138,78,95,3.02,
70,87,95,3.03,
53,91,95,3.04,
56,93,95,3.05,
58,89,94,3.05,
55,87,94,3.06,
53,87,94,3.07,
52,86,92,3.07,
53,95,91,3.08,
61,93,90,3.08,
59,89,89,3.09,
48,83,89,3.09,
47,82,88,3.10,
47,83,88,3.10,
48,84,87,3.11,
50,89,87,3.11,
56,90,86,3.12,
56,90,84,3.12,
55,90,81,3.13,
55,92,81,3.14,
62,93,81,3.14,
153,92,81,3.15,
207,93,81,3.16,
210,88,81,3.18,
245,84,81,3.20,
228,88,82,3.22,
241,80,84,3.24,
238,99,84,3.27,
276,96,85,3.28,
262,93,85,3.31,
261,93,86,3.34,
262,95,88,3.37,
267,93,90,3.39,
266,93,93,3.42,
264,95,93,3.44,
265,94,95,3.47,
273,95,95,3.50,
275,96,96,3.52,
275,96,96,3.55,
267,95,97,3.58,
271,96,98,3.61,
267,95,98,3.63,
269,92,98,3.66,
275,96,99,3.69,
274,94,99,3.71,
269,95,100,3.74,
269,94,100,3.77,
274,95,101,3.80,
269,94,101,3.82,
265,94,102,3.85,
251,91,102,3.88,
252,89,102,3.90,
270,93,102,3.93,
273,95,101,3.95,
294,96,101,3.98,
293,96,101,4.01,
273,93,101,4.04,
275,93,101,4.07,
260,95,101,4.09,
271,93,102,4.12,
272,93,102,4.15,
271,95,103,4.18,
276,94,103,4.20,
276,95,103,4.23,
271,93,103,4.26,
271,91,103,4.29,
263,93,103,4.31,
272,94,103,4.34,
290,98,103,4.37,
294,98,103,4.39,
287,97,103,4.42,
285,96,104,4.45,
273,95,104,4.48,
261,91,104,4.51,
254,91,104,4.54,
259,92,105,4.56,
259,93,105,4.59,
253,90,105,4.61,
256,93,105,4.64,
268,93,105,4.67,
264,92,104,4.69,
260,92,104,4.72,
268,91,0,4.75,
325,91,0,4.77,
370,92,104,4.80,
366,90,104,4.84,
360,89,103,4.88,
360,90,103,4.91,
360,91,104,4.95,
367,91,104,4.98,
374,92,105,5.02,
362,85,106,5.06,
358,93,107,5.09,
381,93,110,5.13,
379,92,111,5.17,
386,93,112,5.21,
374,92,112,5.24,
359,89,112,5.28,
345,88,113,5.32,
373,99,113,5.35,
411,97,114,5.39,
379,94,114,5.43,
377,93,115,5.47,
374,94,115,5.51,
379,94,117,5.54,
381,94,118,5.58,
379,91,118,5.62,
356,89,118,5.66,
344,89,118,5.69,
359,91,118,5.73,
365,93,118,5.76,
378,94,118,5.80,
368,94,118,5.83,
378,95,118,5.87,
385,96,118,5.91,
391,95,118,5.95,
382,95,118,5.99,
380,94,118,6.03,
374,92,118,6.06,
369,93,118,6.10,
362,92,118,6.14,
375,94,118,6.18,
376,93,118,6.21,
216,90,119,6.25,
191,89,119,6.28,
251,90,119,6.30,
256,94,119,6.32,
262,81,119,6.34,
248,91,118,6.37,
278,92,117,6.40,
283,93,117,6.42,
288,94,116,6.45,
285,91,115,6.48,
272,90,115,6.51,
256,89,115,6.54,
262,91,115,6.56,
271,90,115,6.59,
268,90,116,6.62,
268,90,116,6.64,
267,89,116,6.67,
258,88,116,6.70,
256,86,116,6.72,
343,84,114,6.75,
365,84,114,6.78,
369,85,114,6.81,
423,87,114,6.85,
421,111,114,6.89,
471,94,115,6.93,
462,93,115,6.99,
432,90,115,7.03,
432,91,115,7.08,
443,91,115,7.12,
442,89,115,7.17,
428,88,116,7.21,
441,95,118,7.25,
462,93,118,7.30,
454,92,120,7.34,
438,106,121,7.39,
431,90,122,7.43,
432,91,123,7.48,
437,90,123,7.53,
446,91,124,7.57,
430,92,124,7.61,
171,85,125,7.66,
183,87,125,7.70,
190,89,125,7.72,
201,90,125,7.73,
201,98,124,7.75,
219,92,124,7.77,
202,90,123,7.80,
193,89,123,7.82,
206,91,122,7.84,
206,92,121,7.86,
205,91,121,7.88,
203,92,120,7.90,
204,92,120,7.92,
200,91,120,7.94,
203,91,120,7.96,
204,93,120,7.98,
209,90,119,8.00,
200,89,119,8.02,
192,88,118,8.04,
199,90,118,8.06,
206,92,117,8.08,
200,91,116,8.10,
276,91,116,8.12,
359,91,115,8.14,
391,88,115,8.18,
397,94,115,8.20,
402,90,115,8.24,
394,89,115,8.28,
378,89,115,8.32,
374,88,115,8.36,
384,90,116,8.40,
395,91,116,8.44,
387,89,117,8.48,
377,90,118,8.52,
393,89,118,8.55,
389,90,119,8.59,
379,88,120,8.63,
407,86,121,8.67,
355,84,121,8.71,
362,86,122,8.75,
431,94,122,8.78,
438,92,122,8.82,
416,89,122,8.87,
413,90,122,8.91,
321,78,122,8.95,
417,89,123,8.99,
353,80,123,9.03,
416,90,124,9.07,
416,90,124,9.11,
414,90,124,9.15,
403,91,124,9.19,
395,90,124,9.23,
387,90,124,9.27,
406,90,124,9.31,
406,90,125,9.35,
369,88,125,9.39,
386,87,126,9.43,
401,89,126,9.47,
409,91,126,9.51,
391,66,126,9.55,
75,54,126,9.59,
53,38,125,9.60,
74,51,125,9.61,
67,54,124,9.62,
72,54,123,9.62,
72,54,123,9.63,
70,51,122,9.64,
71,54,122,9.65,
49,52,120,9.65,
65,50,120,9.66,
71,54,119,9.66,
70,56,118,9.67,
63,52,118,9.68,
110,71,117,9.68,
250,83,117,9.69,
261,85,116,9.71,
259,84,116,9.74,
312,93,115,9.76,
277,81,114,9.79,
281,88,113,9.82,
274,86,113,9.85,
267,87,113,9.87,
283,88,113,9.90,
226,89,113,9.93,
257,85,0,9.95,
255,84,113,9.98,
286,89,112,10.01,
268,89,112,10.03,
286,104,112,10.06,
326,95,112,10.09,
294,90,113,10.12,
287,91,113,10.15,
290,90,114,10.18,
293,92,114,10.21,
291,91,115,10.24,
292,91,115,10.27,
289,92,115,10.30,
304,95,115,10.33,
337,98,0,10.36,
285,101,116,10.39,
317,96,116,10.42,
329,99,117,10.44,
341,102,117,10.47,
348,99,116,10.51,
332,98,115,10.54,
321,95,116,10.58,
319,95,115,10.61,
317,95,116,10.64,
334,96,116,10.67,
313,96,116,10.71,
312,95,118,10.74,
320,97,119,10.77,
309,99,119,10.80,
306,103,120,10.83,
317,103,120,10.86,
316,102,120,10.90,
312,102,120,10.93,
312,102,120,10.96,
315,102,120,10.99,
316,102,120,11.02,
306,100,120,11.05,
289,95,120,11.09,
277,104,120,11.11,
309,102,120,11.14,
346,98,121,11.17,
362,92,121,11.21,
297,91,121,11.24,
335,92,121,11.27,
327,94,121,11.30,
343,94,120,11.34,
375,98,120,11.37,
379,98,120,11.40,
364,98,119,11.44,
353,96,120,11.48,
355,96,120,11.51,
351,93,121,11.55,
339,93,121,11.59,
346,95,121,11.62,
344,94,122,11.65,
347,93,122,11.69,
346,95,122,11.72,
397,93,122,11.76,
404,93,122,11.79,
396,94,123,11.83,
401,97,123,11.87,
414,96,123,11.91,
443,101,123,11.95,
417,96,124,11.99,
406,96,124,12.04,
405,95,124,12.08,
400,95,125,12.12,
378,92,125,12.16,
369,90,126,12.20,
367,94,126,12.24,
392,95,127,12.27,
391,96,127,12.31,
382,93,127,12.35,
380,91,127,12.39,
494,95,128,12.43,
379,91,128,12.47,
365,88,128,12.51,
349,89,129,12.55,
356,89,129,12.58,
365,92,129,12.62,
375,93,129,12.65,
384,94,129,12.69,
390,95,129,12.73,
396,95,129,12.77,
382,93,129,12.81,
380,92,129,12.85,
371,91,129,12.88,
